slug,name,detect_class_id,status,calories_per_100g,protein_per_100g,carb_per_100g,fat_per_100g,density_g_per_ml,source_dataset,source_id,source_note,aliases,indb_serving_unit,default_serving_grams
urad-dal,Washed urad dal (Dhuli urad ki dal),,complete,61.32,2.51,5.84,2.98,,indb,ASC152,INDB ASC152 Washed urad dal (Dhuli urad ki dal),"dhuli urad,washed urad dal",bowl,296.00
mixed-dal,Mixed dal,,complete,61.93,2.51,5.79,3.10,,indb,ASC155,INDB ASC155 Mixed dal,"mix dal,dal mix",bowl,297.83
whole-moong-dal,Whole moong (Moong ki dal),,complete,53.70,2.25,5.22,2.56,,indb,ASC156,INDB ASC156 Whole moong (Moong ki dal),"sabut moong,moong whole",bowl,342.33
masoor-dal,Whole masoor (Masoor ki dal),,complete,54.05,2.28,5.37,2.52,,indb,ASC157,INDB ASC157 Whole masoor (Masoor ki dal),"whole masoor,sabut masoor",bowl,342.33
sambar,Sambar,,complete,96.92,3.35,10.57,4.38,,indb,ASC167,INDB ASC167 Sambar,sambhar,bowl,257.25
boiled-egg,Boiled egg (Ubla anda),,complete,45.35,4.43,0.12,3.04,,indb,ASC056,INDB ASC056 Boiled egg (Ubla anda),"ubla anda,hard boiled egg",egg,151.00
fried-egg,Fried Egg,,complete,223.67,11.59,0.31,19.62,,indb,ASC057,INDB ASC057 Fried Egg,anda fry,egg,57.75
anda-bhurji,Scrambled egg (Ande ki bhurji),,complete,155.97,10.29,1.35,12.21,,indb,ASC059,INDB ASC059 Scrambled egg (Ande ki bhurji),"scrambled egg,egg bhurji,ande ki bhurji",egg,70.00
omelette,Plain omelette/omlet,,complete,272.41,9.66,0.64,25.74,,indb,ASC061,INDB ASC061 Plain omelette/omlet,"omlet,plain omelette",omelette,143.00
chicken-curry,Chicken curry,,complete,129.22,11.79,3.38,7.57,,indb,ASC240,INDB ASC240 Chicken curry,"murgh curry,chicken masala",bowl,247.93
baingan-bharta,Brinjal bhartha (Baingan ka bhartha),,complete,65.12,1.38,4.40,4.48,,indb,ASC177,INDB ASC177 Brinjal bhartha (Baingan ka bhartha),"baingan ka bharta,brinjal bharta",bowl,325.83
aloo-matar,Pea potato curry (Aloo matar),,complete,100.92,3.48,9.74,5.13,,indb,ASC190,INDB ASC190 Pea potato curry (Aloo matar),"pea potato curry,aloo mattar",bowl,277.33
matar-paneer,Pea paneer curry (Matar paneer),,complete,134.83,6.61,9.29,7.75,,indb,ASC191,INDB ASC191 Pea paneer curry (Matar paneer),"pea paneer,mutter paneer",bowl,277.33
paneer-curry,Paneer curry,,complete,176.52,7.80,8.40,12.38,,indb,ASC195,INDB ASC195 Paneer curry,paneer gravy,bowl,202.33
kadhai-paneer,Kadhai Paneer,,complete,107.99,4.33,7.34,6.81,,indb,ASC226,INDB ASC226 Kadhai Paneer,kadai paneer,bowl,318.13
cabbage-peas,Cabbage and peas (Pattagobhi aur matar),,complete,63.88,3.24,6.24,2.64,,indb,ASC173,INDB ASC173 Cabbage and peas (Pattagobhi aur matar),"pattagobhi matar,cabbage and peas",bowl,166.25
cucumber-raita,Cucumber raita (Kheere ka raita),,complete,59.13,4.04,6.35,2.08,,indb,ASC273,INDB ASC273 Cucumber raita (Kheere ka raita),"kheere ka raita,kheera raita",bowl,152.67
onion-tomato-raita,Tomato onion raita (Tamatar aur pyaaz ka raita),,complete,59.00,3.74,7.08,1.84,,indb,ASC269,INDB ASC269 Tomato onion raita (Tamatar aur pyaaz ka raita),tamatar pyaaz raita,bowl,177.67
masala-dosa,Masala dosa,,complete,164.58,3.29,19.57,7.84,,indb,ASC146,INDB ASC146 Masala dosa,masala dose,dosa,209.66
rava-dosa,Semolina dosa (Suji/Rava dosa),,complete,227.05,7.30,32.84,7.12,,indb,ASC147,INDB ASC147 Semolina dosa (Suji/Rava dosa),"suji dosa,semolina dosa",dosa,73.41
dhokla,Dhokla,,complete,216.49,13.45,30.68,5.28,,indb,ASC474,INDB ASC474 Dhokla,gujarati dhokla,piece,39.96
rava-upma,Semolina upma (Suji/Rava upma),,complete,147.89,3.30,16.31,7.49,,indb,BFP039,INDB BFP039 Semolina upma (Suji/Rava upma),"suji upma,semolina upma,upma",bowl,106.26
vegetable-upma,Vegetable upma,,complete,146.47,4.73,16.46,6.63,,indb,BFP043,INDB BFP043 Vegetable upma,veg upma,plate,235.66
plain-khichdi,Plain khitchdi (Plain khichri/khichdi),,complete,57.03,1.72,10.04,1.01,,indb,BFP144,INDB BFP144 Plain khitchdi (Plain khichri/khichdi),"khichri,khitchdi,plain khichri",small bowl,400
rasam,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),,complete,26.74,1.13,3.37,0.88,,indb,BFP176,INDB BFP176 Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),"puli rasam,saaru,charu",curry bowl,389.87
lemon-rasam,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),,complete,24.41,1.11,2.85,0.87,,indb,BFP177,INDB BFP177 Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),"nimmakaya rasam,elumichai rasam",curry bowl,394.37
egg-curry,Egg curry (Anda curry),,complete,117.52,5.38,4.03,8.81,,indb,BFP240,INDB BFP240 Egg curry (Anda curry),anda curry,bowl,151.57
methi-thepla,Methi thepla,,complete,346.16,8.98,41.34,15.95,,indb,OSR104,INDB OSR104 Methi thepla,"thepla,fenugreek thepla",thepla,36.45
rice-puttu,Rice puttu (Ari puttu),,complete,81.98,1.26,11.82,3.13,,indb,OSR105,INDB OSR105 Rice puttu (Ari puttu),"ari puttu,puttu",puttu,400
appam,Appam,,complete,267.70,3.12,13.28,22.63,,indb,BFP153,INDB BFP153 Appam,"palappam,hoppers",appam,152.89
dal-makhani,Dal makhani,,complete,74.04,3.32,7.96,3.06,,indb,OSR139,INDB OSR139 Dal makhani,"daal makhani,kali dal",bowl,353.36
salted-lassi,Lassi (salted),,complete,18.84,1.35,1.86,0.72,1.00,indb,ASC022,INDB ASC022 Lassi (salted),"namkeen lassi,chaas lassi",tall glass,400
saffron-milk,Saffron milk (Kesariya doodh),,complete,102.18,3.17,12.64,4.57,1.00,indb,OSR010,INDB OSR010 Saffron milk (Kesariya doodh),"kesariya doodh,kesar doodh",glass,262.74
daliya,Cracked wheat porridge (Meetha daliya),,complete,81.57,2.64,8.87,4.08,,indb,ASC047,INDB ASC047 Cracked wheat porridge (Meetha daliya),"cracked wheat porridge,meetha daliya",bowl,400
suji-halwa,Semolina halwa (Suji ka halwa),,complete,225.65,2.16,24.67,13.38,,indb,ASC293,INDB ASC293 Semolina halwa (Suji ka halwa),"semolina halwa,rava kesari",bowl,159.62
gajar-halwa,Carrot halwa (Gajar ka halwa),,complete,172.64,3.11,18.53,9.73,,indb,ASC295,INDB ASC295 Carrot halwa (Gajar ka halwa),"carrot halwa,gajar ka halwa",bowl,167.81
paneer-tikka,Paneer shaslik/tikka,,complete,93.85,5.11,7.98,4.49,,indb,ASC381,INDB ASC381 Paneer shaslik/tikka,"paneer shashlik,paneer tikka",plate,400
peanut-chutney,Peanut chutney (Mungfali ki chutney),,complete,258.37,11.80,9.87,19.06,,indb,ASC385,INDB ASC385 Peanut chutney (Mungfali ki chutney),mungfali chutney,tablespoon,21.00
khaman,Khaman (dhokla),,complete,54.73,1.92,5.36,2.80,,indb,BFP439,INDB BFP439 Khaman (dhokla),khaman dhokla,dhokla,118.65
poshtik-khichdi,Poshtik khichdi/khichri,,complete,93.37,3.04,15.64,1.88,,indb,BFP576,INDB BFP576 Poshtik khichdi/khichri,paushtik khichdi,plate,360.33
jowar-dosa,Jowar dosa,,complete,294.35,8.50,40.53,10.28,,indb,OSR151,INDB OSR151 Jowar dosa,sorghum dosa,dosa,33.04
seviyan-upma,Vermicelli upma (Semiya/Seviyan upma),,complete,149.11,3.11,16.88,7.45,,indb,BFP040,INDB BFP040 Vermicelli upma (Semiya/Seviyan upma),"vermicelli upma,semiya upma",bowl,106.26
sabudana-khichdi,Sago khitchdi/khichri (Sabudana khitchdi/khichri),,complete,187.16,2.72,22.41,10.10,,indb,OSR099,INDB OSR099 Sago khitchdi/khichri (Sabudana khitchdi/khichri),"sago khichdi,sabudana khichri",bowl,271.36
pav-bhaji,Pav bhaji,,complete,96.53,2.66,11.99,4.32,,indb,OSR112,INDB OSR112 Pav bhaji,pavbhaji,,400
rice-upma,Rice upma,,complete,151.27,2.63,17.96,7.46,,indb,BFP041,INDB BFP041 Rice upma,chawal upma,bowl,106.26
